BOTL1000,MI00,TG00,F,105,EA
BOTL1000,SD00,TG00,F,1050,EA
CAGE1000,MI00,TG00,F,200,EA
CIMA1100,MI00,TG00,F,100,EA
DXTR1100,DL00,FG00,F,500,EA
DXTR1100,MI00,FG00,F,50,EA
DXTR1100,MI00,FG00,X,50,EA
DXTR1100,SD00,FG00,F,100,EA
DXTR2100,DL00,FG00,Q,150,EA
DXTR2100,DL00,FG00,F,500,EA
DXTR2100,SD00,FG00,F,500,EA
DXTR3100,DL00,FG00,F,600,EA
DXTR3100,MI00,FG00,F,500,EA
DXTR3100,SD00,FG00,F,100,EA
EBIK1100,MI00,TG00,F,220,EA
EPAD1000,MI00,TG00,F,170,EA
FAID1000,MI00,TG00,F,105,EA
FIXI1100,MI00,TG00,F,200,EA
KPAD1000,MI00,TG00,F,280,EA
OHMT1000,MI00,TG00,F,1100,EA
ORHT1110,DL00,FG00,F,150,EA
ORHT1120,DL00,FG00,F,150,EA
ORMN1100,DL00,FG00,F,150,EA
ORMN1100,MI00,FG00,F,150,EA
ORMN1100,SD00,FG00,F,50,EA
ORWN1100,DL00,FG00,F,150,EA
PRTR1100,DL00,FG00,F,75,EA
PRTR1100,MI00,FG00,F,50,EA
PRTR1100,SD00,FG00,F,50,EA
PRTR2100,DL00,FG00,F,500,EA
PRTR2100,MI00,FG00,F,50,EA
PRTR3100,DL00,FG00,F,150,EA
PRTR3100,MI00,FG00,F,150,EA
PRTR3100,SD00,FG00,F,150,EA
PUMP1000,MI00,TG00,F,500,EA
PUMP1000,SD00,TG00,F,100,EA
RAAL1110,DL00,FG00,F,150,EA
RAAL1120,DL00,FG00,F,150,EA
RACA1110,DL00,FG00,F,150,EA
RACA1120,DL00,FG00,F,150,EA
RACA1130,DL00,FG00,F,150,EA
RHMT1000,MI00,TG00,F,200,EA
RKIT1000,MI00,TG00,F,200,EA
RKIT1000,SD00,TG00,F,250,EA
SHRT1000,MI00,TG00,F,300,EA
