102822,60,ORHT1120,4,ST,7217.28,216.52
102829,50,PRTR2100,2,ST,6792.72,203.78
102829,70,ORMN1100,2,ST,5094.54,152.84
102829,100,ORHT1120,3,ST,5412.96,162.39
102829,110,RAAL1110,2,ST,3608.64,108.26
102829,130,RACA1110,2,ST,8490.90,254.73
101317,10,DXTR1100,1,ST,2487.56,124.38
101317,30,PRTR1100,1,ST,2653.40,132.67
102883,30,PRTR2100,2,ST,6792.72,203.78
101317,50,PRTR3100,1,ST,2653.40,132.67
102883,70,ORHT1120,3,ST,5412.96,162.39
101317,110,RAAL1120,1,ST,1368.16,68.41
101317,130,RACA1120,1,ST,3482.58,174.13
102888,10,DXTR1100,4,ST,10404.76,312.14
102888,20,DXTR2100,8,ST,20809.52,624.29
102888,40,PRTR1100,4,ST,11098.40,332.95
101317,170,RHMT1000,1,ST,41.46,2.07
102888,60,PRTR3100,4,ST,11098.40,332.95
102888,70,ORMN1100,6,ST,12485.70,374.57
102888,80,ORWN1100,4,ST,8670.64,260.12
102888,90,ORHT1110,4,ST,5549.20,166.48
102888,100,ORHT1120,9,ST,13266.09,397.98
101347,20,RACA1110,1,ST,4060.00,121.80
102888,110,RAAL1110,11,ST,16214.11,486.42
101433,10,DXTR2100,1,ST,3090.68,92.72
102888,120,RAAL1120,4,ST,5722.60,171.68
101433,20,PRTR1100,1,ST,3296.72,98.90
102888,130,RACA1110,7,ST,24277.75,728.33
101433,30,PRTR2100,1,ST,3296.72,98.90
102888,150,RACA1130,2,ST,7803.56,234.11
101433,40,ORMN1100,1,ST,2472.54,74.18
102888,180,EBIK1100,3,ST,10404.75,312.14
101433,50,ORWN1100,1,ST,2575.56,77.27
101433,60,ORHT1110,1,ST,1648.36,49.45
101433,70,ORHT1120,1,ST,1751.38,52.54
101433,80,RAAL1110,1,ST,1751.38,52.54
102888,230,RHMT1000,4,ST,173.40,5.20
101434,10,PRTR2100,1,ST,2693.20,80.80
101477,10,DXTR1100,1,ST,2524.87,75.75
101477,30,DXTR3100,1,ST,2524.87,75.75
101477,60,PRTR3100,1,ST,2693.20,80.80
102889,10,DXTR1100,3,ST,7803.57,234.11
101477,70,ORMN1100,1,ST,2019.90,60.60
102889,20,DXTR2100,5,ST,13005.95,390.18
101477,80,ORWN1100,1,ST,2104.06,63.12
102889,40,PRTR1100,3,ST,8323.80,249.71
101477,110,RAAL1110,1,ST,1430.76,42.92
102889,50,PRTR2100,4,ST,11098.40,332.95
101477,120,RAAL1120,1,ST,1388.68,41.66
102889,60,PRTR3100,2,ST,5549.20,166.48
101477,130,RACA1110,1,ST,3366.50,101.00
102889,70,ORMN1100,2,ST,4161.90,124.86
101477,140,RACA1130,1,ST,3787.31,113.62
102889,80,ORWN1100,2,ST,4335.32,130.06
102889,90,ORHT1110,3,ST,4161.90,124.86
102889,100,ORHT1120,5,ST,7370.05,221.10
102889,110,RAAL1110,8,ST,11792.08,353.76
101606,80,ORWN1100,4,ST,10302.24,309.07
102889,120,RAAL1120,3,ST,4291.95,128.76
102889,130,RACA1110,5,ST,17341.25,520.24
101606,90,ORHT1110,4,ST,6593.44,197.80
100752,20,ORHT1110,1,ST,1624.00,48.72
100752,40,RAAL1120,1,ST,1674.75,50.24
101606,100,ORHT1120,11,ST,19265.18,577.96
102572,30,DXTR3100,1,ST,3137.04,94.11
102572,40,PRTR1100,1,ST,3346.17,100.39
101606,110,RAAL1110,9,ST,15762.42,472.87
101478,30,DXTR3100,1,ST,2524.87,75.75
102572,110,RAAL1120,1,ST,1725.37,51.76
100753,10,DXTR1100,1,ST,2487.56,74.63
101478,40,PRTR1100,1,ST,2693.20,80.80
102572,130,RACA1120,1,ST,4391.85,131.76
100753,50,ORHT1110,1,ST,1326.70,39.80
101606,120,RAAL1120,3,ST,5099.61,152.99
101478,50,PRTR2100,1,ST,2693.20,80.80
102572,140,RACA1130,1,ST,4705.55,141.17
100796,10,DXTR2100,1,ST,3045.00,91.35
101606,130,RACA1110,11,ST,45329.90,1359.90
101180,60,PRTR3100,3,ST,9744.00,487.20
